Unit,QUT Course Code,Contents
CSN025 | Principles of Medical Ultrasound,CS60,Wave Physics | Ultrasound - Tissue Interactions | Transducer design | Doppler analysis | Artifacts | Quality Control | Advanced Imaging Methods
CSN026 | Ultrasonic Examination 1 ,CS60  ,Foundations of Ultrasound Practice | B-mode Image Optimisation | Abdominal Ultrasound | Gynaecological Ultrasound  
CSN027 | Ultrasonic Examination 2,CS60,Small Parts (Thyroid / Breast / Scrotum) | Introduction to Obstetrics | 1st Trimester Ultrasound | Colour and PW Doppler Basics | Introduction to Musculoskeletal Ultrasound | The Carotid and DVT examination
CSN028 | Advanced Ultrasound Topics 2,CS60,Blood Flow Haemodynamics | Advanced Peripheral and Abdominal Vascular | Musculoskeletal Ultrasound 
CSN029 | Advanced Ultrasound Topics ,CS60,Obstetric Ultrasound - Advanced Morphology  | Fetal Growth and Doppler | The Fetal Heart | Non - invasive 1st Trimester Screening | Inventional Procedures | Paediatic Topics - Abdomen & Cerebrospinal Ultrasound | Hip Dysplasia 
CSH037 | Medical Imaging Applications in Radiation Therapy,CS49,Basic Ultrasound Applications and Wave Physics | Routine Acoustic Windows | Transducer Types | The Role of the Sonographer | Ultrasound Terminology 
CSH059 | Advanced Imaging Applications,CS49,Ultasound in Radiation Therapy | Beam characteristics | B - Mode Controls | Image Optimisation 
CSH077 | Research Project in Contemporary Clinical Practice,CS48,Project and Thesis supervision for final year Medical Imaging Honours students
